Sample,variable,value
4A_4x-DB2 | 09-03-2018,log.Maximal.Resp,2.1460343032842095
4A_4y-DB2 | 09-03-2018,log.Maximal.Resp,2.0759333167543303
5A_1-DB2 | 27-03-2018,log.Maximal.Resp,2.0885730625512133
5A_2x-DB2 | 23-04-2018,log.Maximal.Resp,2.124731184362735
5A_2y-DB2 | 23-04-2018,log.Maximal.Resp,1.9651786716557202
5A_3-DB2 | 02-05-2018,log.Maximal.Resp,1.0505507047958713
5A_4x-DB2 | 25-05-2018,log.Maximal.Resp,2.043936008149405
5A_4y-DB2 | 25-05-2018,log.Maximal.Resp,2.087938682403488
6G_1-DB2 | 27-03-2018,log.Maximal.Resp,2.1247841522686937
6G_2x-DB2 | 19-04-2018,log.Maximal.Resp,2.042381017987781
6G_2y-DB2 | 19-04-2018,log.Maximal.Resp,2.000068964243485
6G_3-DB2 | 02-05-2018,log.Maximal.Resp,0.9845144782823914
6G_4x-DB2 | 24-05-2018,log.Maximal.Resp,2.014410865809097
6G_4y-DB2 | 24-05-2018,log.Maximal.Resp,2.072936368387065
7A_2x-DB2 | 17-08-2018,log.Maximal.Resp,1.9489823162759472
7A_2y-DB2 | 17-08-2018,log.Maximal.Resp,2.151979617275972
7A_3x-DB2 | 29-08-2018,log.Maximal.Resp,2.0689911762884714
7A_3y-DB2 | 29-08-2018,log.Maximal.Resp,1.9630572219268996
7A_4x-DB2 | 21-09-2018,log.Maximal.Resp,1.9612450490261049
7A_4y-DB2 | 21-09-2018,log.Maximal.Resp,1.8587387405951272
9A_1x-DB2 | 02-07-2018,log.Maximal.Resp,1.377207710609837
9A_1y-DB2 | 02-07-2018,log.Maximal.Resp,1.5297066111876068
9A_3x-DB2 | 23-Aug-18 ,log.Maximal.Resp,2.172958844292129
9A_3y-DB2 | 23-Aug-18 ,log.Maximal.Resp,2.0652007305761613
9A_4x-DB2 | 17-Sep-18 ,log.Maximal.Resp,2.1697714803325794
10A_1x-DB2 | 16-Oct-18 ,log.Non.Mito.Resp,2.4769970594485127
10A_1y-DB2 | 16-Oct-18 ,log.Non.Mito.Resp,2.5705379867417735
10A_2x-DB2 | 08-Nov-18 ,log.Non.Mito.Resp,2.6094611817848072
10A_2y-DB2 | 08-Nov-18 ,log.Non.Mito.Resp,2.6391874629013565
10A_3x-DB2 | 20-Nov-18 ,log.Non.Mito.Resp,2.5489847942180432
10A_3y-DB2 | 20-Nov-18 ,log.Non.Mito.Resp,2.6798598207099964
10A_4x-DB2 | 14-Dec-18 ,log.Non.Mito.Resp,3.065468350743225
10A_4y-DB2 | 14-Dec-18 ,log.Non.Mito.Resp,3.0033636620491677
11B_1x-DB2 | 20-Dec-18 ,log.Non.Mito.Resp,2.4888903312127106
11B_1y-DB2 | 20-Dec-18 ,log.Non.Mito.Resp,2.6493669142963023
11B_3x-DB2 | 23-01-2019,log.Non.Mito.Resp,2.623910865110696
11B_3y-DB2 | 23-01-2019,log.Non.Mito.Resp,2.574513040299312
11B_4x-DB2 | 18-Feb-19 ,log.Non.Mito.Resp,2.4119953642516636
11B_4y-DB2 | 18-Feb-19 ,log.Non.Mito.Resp,2.540569109473605
1A_1x-DB2 | 09-10-2017,log.Non.Mito.Resp,2.5739051624187708
1A_1y-DB2 | 09-10-2017,log.Non.Mito.Resp,2.616562361735238
